Name	POS
하늘	NNG
네	XSN
소고기	NNG
에다	JKB
도시락	NNG
손색없	VA
초밥	NNG
아침	NNG
고기	NNG
두꺼운	VA+ETM
줄기	NNG
짠맛	NNG
밑간	NNG
내용물	NNG
백	NR
백김치	NNG
다르	VA
나쁘	VA
제육볶음	NNG
오징어	NNG
가위	NNG
구여	NNG
싼	VA+ETM
웨	NNG
된장	NNG
동	NNBC
쥔	VV+ETM
칫	IC
장식	NNG
파로	NNG
쪄	VV+EC
보장	NNG
차갑	VA
속	NNG
털	VV
술	NNG
맛소금	NNG
될	VV+ETM
울	VV+ETM
홈	NNG
우리	NP
항상	MAG
즐겨	VV+EC
힘든	VA+ETM
퓨전	NNG
여기	NP
모를	VV+ETM
찾	VV
십	NR
리	NNBC
성분	NNG
많	VA
높	VA
쇠고기	NNG
달궈진	VV+EC+VX+ETM
아야	EC
첨가	NNG
신경	NNG
써도	VV+EC
떡	NNG
싫	VA
해물	NNG
소스	NNG
냠	MAG
순	NNG
무엇	NP
너	VV
는지	EC
뎅	MAG
흐트러지	VV
오므려	VV+EC
가운데	NNG
완전	MAG
덩어리	NNG
끈	NNG
파내	VV
거기	NP
힘들	VA
뭉쳐	VV+EC
폼	NNG
공주	NNG
군내	NNG
하루	NNG
이틀	NNG
궜	UNKNOWN
확실	XR
넓	VA
양배추	NNG
근대	NNG
데쳐	VV+EC
찜통	NNG
찐다	VV+EC
다니	EC
아이디어	NNG
십자	NNG
익히	VV
다솜	NNP
봄동	NNG
오른	VV+ETM
쪄서	VV+EC
향기	NNG
찌	VV
깜찍	XR
저기	NP
라고	EC
모두	MAG
재워	VV+EC
돼요	VV+EF
불고기	NNG
테	NNB+VCP
니아	EC
두부	NNG
숙주	NNG
만두	NNG
색다른	VA+ETM
시도	NNG
익힘	VV+ETN
인분	NNG
맞춘다	VV+EC
유지니	NNP
두를	VV+ETM
구	EC
내게	NP+JKB
솜	NNG
산	NNG
포도	NNG
유가	NNG
등등	NNB
찍	VV
사랑	NNG
겹쳐	VV+EC
줘도	VX+EC
양송이	NNG
느껴	VV+EC
풍미	NNG
함	XSA+ETN
매운맛	NNG
